,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
144,sequence_32109,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,5
145,sequence_32121,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
146,sequence_32140,0,0,3,4,2,3,0,1,2,2,5,1,2,8,3,8,2,15,9,2,17,14,14,2,18,0,27,25
147,sequence_32136,0,0,3,4,2,3,0,1,2,2,5,1,2,8,3,8,2,2,9,2,12,14,0,2,25,5,2,14
148,sequence_50974,0,1,1,0,5,5,6,6,5,6,10,10,10,14,4,3,16,10,10,7,7,7,5,24,4,3,24,27
149,sequence_32118,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
150,sequence_32146,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
151,sequence_32138,0,0,3,4,2,3,0,1,2,2,5,9,2,8,3,8,2,2,9,2,12,3,0,2,18,5,2,14
152,sequence_50962,0,1,1,3,1,1,3,3,7,3,9,5,8,0,0,10,3,9,7,18,6,15,17,22,20,1,25,12
153,sequence_51050,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,3,11,22,25,12
154,sequence_51029,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,10,25,12
155,sequence_51008,0,1,1,3,1,1,3,8,4,3,6,7,5,7,0,12,7,17,3,11,4,10,8,13,8,13,25,11
156,sequence_51011,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,22,25,12
157,sequence_32164,0,0,0,2,3,0,4,4,8,5,4,4,6,10,9,5,8,16,12,9,5,9,9,17,23,9,8,10
158,sequence_51035,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,22,25,12
159,sequence_51005,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,22,25,12
160,sequence_51010,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,1,22,11,22,25,12
161,sequence_51013,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,17,22,25,12
162,sequence_50991,0,1,1,3,1,1,3,3,7,3,9,5,8,0,0,10,3,9,7,18,18,15,17,22,20,1,25,9
163,sequence_51043,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,0,18,6,5,7,3,11,22,25,12
164,sequence_51009,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,10,25,12
165,sequence_51031,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,15,17,22,16,12
166,sequence_51020,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,22,25,12
167,sequence_51034,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,22,25,12
168,sequence_51007,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,7,22,11,22,25,4
169,sequence_51026,0,1,1,3,1,1,3,3,7,3,9,8,8,4,0,1,5,9,7,18,6,5,1,22,11,22,25,12
170,sequence_32169,0,0,0,2,3,0,4,5,8,9,0,11,11,13,12,7,10,4,2,8,10,6,18,8,12,26,11,21
171,sequence_51000,0,1,1,0,5,5,6,6,5,6,10,10,12,14,10,3,11,14,13,20,15,13,22,18,15,14,21,20
172,sequence_32171,0,0,0,2,3,0,4,5,8,9,0,11,11,13,12,7,10,4,2,8,10,6,18,8,12,11,11,21
173,sequence_32170,0,0,0,2,3,0,4,5,8,9,0,11,11,13,12,7,10,4,2,8,10,6,18,8,12,26,11,21
174,sequence_32166,0,0,0,2,3,0,4,5,8,5,0,11,6,13,12,7,10,4,2,8,5,6,18,8,23,26,11,10
175,sequence_32179,0,0,0,2,3,0,4,5,8,9,0,11,11,13,12,7,10,4,2,15,10,6,18,8,12,11,19,17
176,sequence_50997,0,1,1,0,5,6,1,0,5,1,8,5,12,12,14,9,17,5,17,16,20,21,10,16,6,8,15,9
177,sequence_50998,0,1,1,0,5,5,6,6,5,6,10,10,12,14,10,3,11,14,13,20,7,13,22,18,15,14,7,23
178,sequence_50999,0,1,1,0,5,6,1,0,6,1,8,5,1,0,14,9,0,5,17,16,9,21,10,9,6,8,10,16
179,sequence_50961,0,1,1,0,5,6,1,0,6,1,8,5,1,0,14,10,0,13,17,14,1,15,17,9,20,1,21,9
180,sequence_32175,0,0,0,2,3,0,4,5,8,9,0,11,11,13,12,7,10,4,2,15,10,6,18,8,12,11,19,17
181,sequence_32178,0,0,0,2,3,0,4,5,8,9,0,11,11,13,12,7,13,4,2,15,10,6,18,8,12,11,19,17
182,sequence_51041,0,1,1,0,5,6,1,0,4,10,7,2,3,12,8,16,0,1,0,5,13,19,11,1,24,16,5,4
183,sequence_50965,0,1,1,0,5,6,1,0,6,1,8,5,3,0,14,10,11,5,17,16,20,20,17,16,20,1,7,9
184,sequence_51048,0,1,1,0,5,6,1,0,6,1,1,2,3,0,14,9,0,5,17,5,9,20,10,9,6,8,10,16
185,sequence_50992,0,1,1,0,5,6,1,0,6,1,1,5,1,0,14,10,3,5,17,16,18,21,10,16,20,8,10,9
186,sequence_32165,0,0,0,2,3,0,4,5,8,9,0,11,6,2,2,0,13,16,4,15,5,0,21,17,9,11,18,2
187,sequence_51040,0,1,1,0,5,5,6,6,4,6,7,10,12,14,10,12,11,8,13,20,13,19,11,24,24,3,26,28
188,sequence_32177,0,0,0,2,3,0,4,5,8,9,0,11,11,2,2,0,13,4,4,15,2,0,21,8,12,11,18,2
189,sequence_50963,0,1,1,0,5,5,6,6,4,10,10,7,10,12,15,3,11,10,10,17,7,7,5,18,4,18,7,0
190,sequence_51001,0,1,1,0,5,6,1,0,6,1,8,5,1,0,14,9,0,5,17,16,18,21,10,9,6,8,21,9
191,sequence_50990,0,1,1,0,5,6,1,0,6,1,8,5,1,0,14,10,3,5,17,16,18,12,17,9,20,1,1,9
