,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
176,sequence_50997,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
177,sequence_50998,0,2,0,1,0,1,0,8,8,8,8,8,3,3,1,0,17,17,17,17,17,17,8,8,8,8,8,8
178,sequence_50999,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
179,sequence_50961,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
180,sequence_32175,0,0,2,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,9,4,4,1
181,sequence_32178,0,0,2,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,9,4,4,1
182,sequence_51041,0,2,0,1,0,6,6,2,0,5,5,5,5,5,5,5,5,5,2,2,2,0,11,24,24,24,24,24
183,sequence_50965,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
184,sequence_51048,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,27,27
185,sequence_50992,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
186,sequence_32165,0,0,2,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,9,4,4,1
187,sequence_51040,0,2,0,1,0,1,0,8,8,8,8,8,3,3,1,0,10,10,10,10,10,10,10,10,10,10,10,4
188,sequence_32177,0,0,2,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,9,4,4,1
189,sequence_50963,0,2,0,1,0,1,0,8,8,8,8,8,3,3,1,0,17,17,17,17,17,17,8,8,8,8,8,8
190,sequence_51001,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
191,sequence_50990,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
192,sequence_32168,0,0,2,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,9,4,4,1
193,sequence_32172,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,3,1,1,0,2,2,2,2,2
194,sequence_32111,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,9,9,9,9,9,4,1,0,21
195,sequence_51051,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,27,27
196,sequence_50975,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
197,sequence_32155,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,3,1,1,0,11,11,11,11,11
198,sequence_32156,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,3,1,1,0,11,11,11,11,11
199,sequence_50993,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
200,sequence_32157,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,3,1,1,0,11,11,11,11,11
201,sequence_51193,1,1,1,0,5,5,5,5,5,2,0,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5,5,5
202,sequence_51038,0,2,0,1,0,6,6,2,0,5,5,5,5,5,5,5,5,5,2,2,2,0,11,24,24,24,24,24
203,sequence_50994,0,2,0,1,0,6,6,2,0,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4,1,0,7,7
204,sequence_32154,0,0,2,2,2,2,2,0,6,6,2,2,2,2,2,2,2,2,0,3,1,1,0,11,11,11,11,11
205,sequence_51030,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
206,sequence_51021,0,2,0,1,0,1,0,6,2,0,6,6,13,13,13,13,13,13,13,13,13,6,6,6,6,6,6,6
207,sequence_51150,1,1,1,0,1,0,1,1,1,1,1,0,6,6,6,6,6,6,6,6,6,2,2,0,20,20,20,20
208,sequence_51022,0,2,0,4,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,8,3,3,1,1,0,9,9,9
